"Product Name",Total_Quantity_Sold,Total_Revenue
"The Phone Company Smart phones Unlocked M300 Black",53,14151
"Fabrikam SLR Camera M149 Pink",44,14036
"NT Washer & Dryer 15.5in E1550 Silver",14,13998.599999999999
"SV Car Video LCD7W M7082 Silver",20,13980
"Litware Home Theater System 5.1 Channel M512 Silver",20,13980
"Contoso SLR Camera 35" M358 Silver",39,13962
"Fabrikam Budget Moviemaker 2/3'' 17mm E100 White",34,13940
"Contoso Washer & Dryer 25.5in M255 Pink",7,13923
"Litware Washer & Dryer 25.5in M350 Blue",7,13923
"Adventure Works 13" Color TV E25 Black",116,13918.839999999993
"A. Datum Point Shoot Digital Camera M500 Silver Grey",70,13860
"Adventure Works 13" Color TV E25 Silver",114,13678.859999999999
"The Phone Company Smart phones without camera E100 White",106,13674
"A. Datum SLR Camera X142 Orange",32,13664
"A. Datum Point Shoot Digital Camera M500 Orange",69,13662
"Fabrikam SLR Camera M148 Silver Grey",41,13612
"A. Datum All in One Digital Camera M200 Azure",72,13536
"SV Car Video LCD7W M7080 Black",27,13500
"Proseware Screen 100in M1609 Black",71,13490
"Fabrikam Refrigerator 19CuFt M7600 White",15,13485
"Adventure Works 19" Color Digital TV E35 Silver",94,13479.599999999999
"NT Wireless Bluetooth Stereo Headphones E102 Black",281,13473.950000000004
"SV 16xDVD E340 Silver",136,13464
"A. Datum Bridge Digital Camera M300 Green",72,13456.799999999997
"SV Car Video TFT6.2W E6282 Brown",50,13450
"SV 16xDVD M320 Black",113,13447
"NT Wireless Bluetooth Stereo Headphones E102 Silver",280,13426.000000000004
"Litware Home Theater System 5.1 Channel M510 Silver",21,13419
"Fabrikam SLR Camera M147 Silver",40,13360
"Contoso Projector 720p M620 Silver",19,13281
"Adventure Works LCD20 M210 White",51,13209
"Contoso Macro Zoom Lens X300 Silver",36,13195.8
"Contoso 16GB Mp5 Player M1600 White",66,13193.400000000001
"SV 16xDVD M330 Silver",121,13189
"A. Datum Full Frame Digital Camera X300 Pink",57,13167
"The Phone Company Smart phones without camera E100 Pink",102,13158
"Fabrikam Budget Moviemaker 1/3'' 8.5mm E200 White",32,13152
"Fabrikam SLR Camera 35" M358 Silver Grey",40,13120
"A. Datum SLR Camera M141 Blue",42,13104
"Proseware LCD19W M100 White",73,13067
"WWI Screen 106in M1609 White",52,13052
"WWI Laptop8.9 E0089 White",40,13040
"Contoso Washer & Dryer 15.5in E155 Pink",13,12987
"WWI Projector 480p DLP12 White",26,12974
"SV Car Video LCD7 M7003 Black",35,12915
"SV Car Video TFT6.2W E6282 Silver",48,12912
"Contoso Air conditioner 12000BTU M0640 Grey",28,12879.72
"SV Car Video TFT7 M7000 Brown",43,12857
"WWI Screen 113in M1610 Silver",43,12857
"NT Wireless Bluetooth Stereo Headphones E102 Blue",268,12850.600000000002
"WWI Screen 106in M1609 Black",51,12801
"Adventure Works 20" Analog CRT TV E45 Black",64,12800
"NT Washer & Dryer 21in E2100 White",8,12799.2
"Contoso SLR Camera M143 Silver",42,12768
"Proseware Office Jet Wireless All-in-One Inkjet Printer M600 Black",67,12730
"A. Datum Point Shoot Digital Camera M500 Pink",64,12672
"Fabrikam SLR Camera 35" X358 Pink",29,12649.8
"Fabrikam SLR Camera 35" X358 Silver Grey",29,12649.8
"SV 16xDVD M300 Silver",106,12614
"Fabrikam Refrigerator 4.6CuFt E2800 White",42,12599.58
"Fabrikam Microwave 1.6CuFt M1250 Silver",70,12599.300000000001
"Proseware Screen 100in M1609 Silver",66,12540
"MGS Classic Flight Collection X400",115,12535
"SV Car Video LCD7 M7001 Black",38,12502
"A. Datum Super-zoom Digital Camera X300 Silver",43,12470
"Fabrikam SLR Camera 35" M358 Blue",38,12464
"Contoso Home Theater System 7.1 Channel M1700 White",14,12446
"Litware Home Theater System 5.1 Channel M513 Black",18,12402
"Proseware Color Ink Jet Fax, Copier, Phone M250 Green",78,12402
